Status	Cancelled	Complete	Processing	Returned	Shipped
Sold Month	Total Gross Revenue	Total Gross Revenue	Total Gross Revenue	Total Gross Revenue	Total Gross Revenue
2021-01	$0.00	$382,150.06		$0.00	
2021-02	$0.00	$382,974.16		$0.00	
2021-03	$0.00	$418,818.58		$0.00	
2021-04	$0.00	$414,489.25		$0.00	
2021-05	$0.00	$409,530.16		$0.00	
2021-06	$0.00	$421,239.75		$0.00	
2021-07	$0.00	$434,980.01		$0.00	
2021-08	$0.00	$462,992.46		$0.00	
2021-09	$0.00	$495,897.16		$0.00	
2021-10	$0.00	$519,745.96		$0.00	
2021-11	$0.00	$541,606.46		$0.00	
2021-12	$0.00	$438,855.98	$53,788.32	$0.00	$102,057.01
